message,report_time,disaster_category,information_type,report_classification,timestamp
9AADA8862F000198F67C27FF25A5FFC9727FF28200000000000000101CFC69C,2024-01-01T17:30:00.000Z,津波,発表,通常,2024-01-02T02:31:23+09:00
C6AD18864F000064DA44000000000000000000000000000000000011B11AA5C,2024-01-01T18:30:00.000Z,震度,発表,優先,2024-01-02T03:30:27+09:00
53AD10865000034C00000C9D002861894C011180000000000000001393B72AC,2024-01-01T18:32:00.000Z,震源,発表,優先,2024-01-02T03:33:07+09:00
9AAD188650000064EA44000000000000000000000000000000000013F6CC478,2024-01-01T18:32:00.000Z,震度,発表,優先,2024-01-02T03:33:11+09:00
53AD18867580006752440000000000000000000000000000000000113012B20,2024-01-01T19:43:00.000Z,震度,発表,優先,2024-01-02T04:43:55+09:00
C6AD10867680034C00000CEA05317BC9520111500000000000000012C8495E8,2024-01-01T19:45:00.000Z,震源,発表,優先,2024-01-02T04:45:27+09:00
53AD18867680006752440000000000000000000000000000000000130C113DC,2024-01-01T19:45:00.000Z,震度,発表,優先,2024-01-02T04:45:31+09:00
C6AD1886C780006C6A4400000000000000000000000000000000001175DDB14,2024-01-01T22:15:00.000Z,震度,発表,優先,2024-01-02T07:15:27+09:00
53AD1086C800034C00000D8D0A2F6189520111B00000000000000012EB0DAC4,2024-01-01T22:16:00.000Z,震源,発表,優先,2024-01-02T07:16:55+09:00
9AAD1886C800006C6A440000000000000000000000000000000000132A14130,2024-01-01T22:16:00.000Z,震度,発表,優先,2024-01-02T07:16:59+09:00
53ADA886CF000198F67C27FF23C1FFC9547FF2555FFC95E7FF25A0129B906DC,2024-01-01T22:30:00.000Z,津波,発表,通常,2024-01-02T07:30:43+09:00
C6ADA886CF000198F67C27FF25A5FFC9727FF2820000000000000013E828F88,2024-01-01T22:30:00.000Z,津波,発表,通常,2024-01-02T07:31:03+09:00
9AAD1888018000800A44000000000000000000000000000000000012C784FA4,2024-01-02T00:03:00.000Z,震度,発表,優先,2024-01-02T09:03:35+09:00
53AD10880200034C000010010A277BC95801118000000000000000126CDD4D4,2024-01-02T00:04:00.000Z,震源,発表,優先,2024-01-02T09:04:31+09:00
9AAD1888020000800A4400000000000000000000000000000000001294EA4F0,2024-01-02T00:04:00.000Z,震度,発表,優先,2024-01-02T09:04:35+09:00
C6AD10880880034C0000100E0F2F618958011260000000000000001066272B4,2024-01-02T00:17:00.000Z,震源,発表,優先,2024-01-02T09:17:51+09:00
53AD18880880008072440000000000000000000000000000000000109EE4CF0,2024-01-02T00:17:00.000Z,震度,発表,優先,2024-01-02T09:17:55+09:00
9AADA888200001A0D67C200023C0000954000255400095E00025A013DC107A8,2024-01-02T01:00:00.000Z,津波,発表,通常,2024-01-02T10:00:23+09:00
53ADA888200001A0D67C200025A400097200028200000000000000111A42218,2024-01-02T01:00:00.000Z,津波,発表,通常,2024-01-02T10:00:43+09:00
53AC88882880032400001051050A7BDAC00001000000000100000011A0FACA0,2024-01-02T01:17:00.000Z,緊急地震速報,発表,最優先,2024-01-02T10:17:55+09:00
C6AD1888298000828B44000000000000000000000000000000000010FD05474,2024-01-02T01:19:00.000Z,震度,発表,優先,2024-01-02T10:19:51+09:00
53AD18882A0000828B440000000000000000000000000000000000136808598,2024-01-02T01:20:00.000Z,震度,発表,優先,2024-01-02T10:20:31+09:00
53AD10882A00035000001051053861894C0111500000000000000013211EC04,2024-01-02T01:20:00.000Z,震源,発表,優先,2024-01-02T10:21:31+09:00
9AAD10882B80035DE2001051053861894C0111500000000000000012D14A294,2024-01-02T01:23:00.000Z,震源,発表,優先,2024-01-02T10:23:35+09:00
C6AD18882B8000828B440000000000000000000000000000000000130A76A78,2024-01-02T01:23:00.000Z,震度,発表,優先,2024-01-02T10:23:39+09:00
9AAD10884380035C00001084002561894C01115000000000000000130541CD0,2024-01-02T02:07:00.000Z,震源,発表,優先,2024-01-02T11:07:23+09:00
9AAD1088A200035C00001142052B7BC95801118000000000000000104BBDEB8,2024-01-02T05:04:00.000Z,震源,発表,優先,2024-01-02T14:04:47+09:00
53AD1088C180035C0000118105226189580111B000000000000000122051A68,2024-01-02T06:03:00.000Z,震源,発表,優先,2024-01-02T15:03:55+09:00
C6AD1088D300035C000011A3051F7BC9580111800000000000000012C42D6AC,2024-01-02T06:38:00.000Z,震源,発表,優先,2024-01-02T15:38:15+09:00
53AD1088E000035C000011B9052D61894C0111500000000000000013D4FC538,2024-01-02T07:00:00.000Z,震源,発表,優先,2024-01-02T16:00:55+09:00
53AD1888E080008DCA440000000000000000000000000000000000139C9641C,2024-01-02T07:01:00.000Z,震度,発表,優先,2024-01-02T16:01:55+09:00
53AD1088E100035C000011B9052D61894C01115000000000000000135AE6BA0,2024-01-02T07:02:00.000Z,震源,発表,優先,2024-01-02T16:02:55+09:00
9AAD1888E100008DCA440000000000000000000000000000000000138BA0E08,2024-01-02T07:02:00.000Z,震度,発表,優先,2024-01-02T16:02:59+09:00
9AAD1889078000906A44000000000000000000000000000000000013E5E7BB0,2024-01-02T08:15:00.000Z,震度,発表,優先,2024-01-02T17:15:35+09:00
9AAD1889080000906C440000000000000000000000000000000000107636F70,2024-01-02T08:16:00.000Z,震度,発表,優先,2024-01-02T17:16:47+09:00
9AAD10890880035C0000120D052E7BC94C0111200000000000000012B552224,2024-01-02T08:17:00.000Z,震源,発表,優先,2024-01-02T17:17:23+09:00
9AAD10890900035C0000120D052E7BC94C01112000000000000000127C45BF0,2024-01-02T08:18:00.000Z,震源,発表,優先,2024-01-02T17:18:23+09:00
C6AD1889090000906C44000000000000000000000000000000000012A5040F8,2024-01-02T08:18:00.000Z,震度,発表,優先,2024-01-02T17:18:27+09:00
C6AD10893000035C0000125D052B61895E0112900000000000000010C895AE4,2024-01-02T09:32:00.000Z,震源,発表,優先,2024-01-02T18:32:39+09:00
9AAD10898800035C0000130D052B6189520111B00000000000000013A603824,2024-01-02T12:16:00.000Z,震源,発表,優先,2024-01-02T21:16:35+09:00
9AAD1089A380035C00001344001F61894C011180000000000000001226739F8,2024-01-02T13:07:00.000Z,震源,発表,優先,2024-01-02T22:07:23+09:00
9AAD1089AB00035C00001353052161894C01115000000000000000125DD3CF8,2024-01-02T13:22:00.000Z,震源,発表,優先,2024-01-02T22:22:23+09:00
C6AD108A0B80035C0000141505207BC94C01112000000000000000122C7A4F8,2024-01-02T16:23:00.000Z,震源,発表,優先,2024-01-03T01:23:39+09:00
9AAC888A2B004B240000145505316199800001000000000100000011829E068,2024-01-02T17:22:00.000Z,緊急地震速報,発表,最優先,2024-01-03T02:22:11+09:00
53AD188A2B8000A2AB44000000000000000000000000000000000010D901A3C,2024-01-02T17:23:00.000Z,震度,発表,優先,2024-01-03T02:24:07+09:00
9AAD188A2C0000A2AC440000000000000000000000000000000000135DCB778,2024-01-02T17:24:00.000Z,震度,発表,優先,2024-01-03T02:24:47+09:00
53AD108A2C00035C00001455053261895E0112900000000000000010BDC71E4,2024-01-02T17:24:00.000Z,震源,発表,優先,2024-01-03T02:25:07+09:00
9AAD108A2C80035DE2001455053261895E0112900000000000000013194674C,2024-01-02T17:25:00.000Z,震源,発表,優先,2024-01-03T02:25:47+09:00
53AD188A2C8000A2AC440000000000000000000000000000000000106ACB8A0,2024-01-02T17:25:00.000Z,震度,発表,優先,2024-01-03T02:26:07+09:00
9AAD108A3100035C0000145E052C61895E01129000000000000000128870124,2024-01-02T17:34:00.000Z,震源,発表,優先,2024-01-03T02:34:11+09:00
C6AD188A310000A2F244000000000000000000000000000000000012F93BD80,2024-01-02T17:34:00.000Z,震度,発表,優先,2024-01-03T02:34:15+09:00
53AD108A5780035C000014AD05276189520111800000000000000011BEDBCB0,2024-01-02T18:47:00.000Z,震源,発表,優先,2024-01-03T03:47:31+09:00
53AD188AB10000AB0244000000000000000000000000000000000013F2D9098,2024-01-02T21:34:00.000Z,震度,発表,優先,2024-01-03T06:34:31+09:00
53AD108AB180035C00001560052D61894C01118000000000000000138C60000,2024-01-02T21:35:00.000Z,震源,発表,優先,2024-01-03T06:35:31+09:00
9AAD108AB200035C00001560052D61894C0111800000000000000012E6F04C8,2024-01-02T21:36:00.000Z,震源,発表,優先,2024-01-03T06:36:23+09:00
53AD188AB20000AB0244000000000000000000000000000000000013440F8B4,2024-01-02T21:36:00.000Z,震度,発表,優先,2024-01-03T06:36:31+09:00
53AD108AF200035C000015E205286189580112000000000000000012D801560,2024-01-02T23:36:00.000Z,震源,発表,優先,2024-01-03T08:36:55+09:00
53AC888C3B00032400001876050A619EC00001000000000100000010744925C,2024-01-03T01:54:00.000Z,緊急地震速報,発表,最優先,2024-01-03T10:54:55+09:00
C6AD188C3C0000C3B444000000000000000000000000000000000012FC7D618,2024-01-03T01:56:00.000Z,震度,発表,優先,2024-01-03T10:56:39+09:00
53AD108C3C80035C0000187605376189580111B0000000000000001151FB7D8,2024-01-03T01:57:00.000Z,震源,発表,優先,2024-01-03T10:57:19+09:00
C6AD108C5980035C000018B0052A61895E011260000000000000001388B3268,2024-01-03T02:51:00.000Z,震源,発表,優先,2024-01-03T11:51:15+09:00
C6AD108C7380035C000018E5052A7BC94C0111200000000000000012A806890,2024-01-03T03:39:00.000Z,震源,発表,優先,2024-01-03T12:40:04+09:00
C6AD188C7C0000C7B244000000000000000000000000000000000012551463C,2024-01-03T03:56:00.000Z,震度,発表,優先,2024-01-03T12:57:03+09:00
53AD108C7C80035C000018F605315EC96401132000000000000000135FE72C4,2024-01-03T03:57:00.000Z,震源,発表,優先,2024-01-03T12:57:19+09:00
C6AD108C7D00035C000018F605315EC9640113200000000000000012DA46178,2024-01-03T03:58:00.000Z,震源,発表,優先,2024-01-03T12:58:15+09:00
53AD188C7D0000C7B244000000000000000000000000000000000013350D6F8,2024-01-03T03:58:00.000Z,震度,発表,優先,2024-01-03T12:58:19+09:00
53AD108CD700035C000019AC05237BC9580111800000000000000011C6EFC64,2024-01-03T06:46:00.000Z,震源,発表,優先,2024-01-03T15:46:31+09:00
53AD108CE500035C000019C8052A6189580111B0000000000000001090554A0,2024-01-03T07:10:00.000Z,震源,発表,優先,2024-01-03T16:10:43+09:00
C6AD108D0C80035C00001A16052161894C01115000000000000000125DF138C,2024-01-03T08:25:00.000Z,震源,発表,優先,2024-01-03T17:25:51+09:00
C6AD108D1A80035C00001A33051F61894C01115000000000000000137571234,2024-01-03T08:53:00.000Z,震源,発表,優先,2024-01-03T17:53:51+09:00
53AC888D3800032400001A70050A619AC00001000000000100000013880EF78,2024-01-03T09:48:00.000Z,緊急地震速報,発表,最優先,2024-01-03T18:48:19+09:00
